月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
4月,妇产科,缺失行,止血钳-1/Z1029,1599303,整行,1.0/8.0/8.0,,30,,
4月,妇产科,缺失行,取环包-6/W6050,1599303,整行,1.0/33.0/33.0,,31,,
4月,妇产科,多余行,无菌缸-1/Z2530,1590376,整行,,1.0/16.0/16.0,,11,
4月,妇产科,多余行,取环器-1/Z1535,1590376,整行,,1.0/11.0/11.0,,12,
4月,妇产科,多余行,取环包-6/W6050,1590376,整行,,1.0/33.0/33.0,,13,
4月,妇产科,多余行,人流包-9件/W6050,1590376,整行,,2.0/49.5/99.0,,14,
4月,妇产科,汇总不一致-总价,妇产科,,总价,678.5,785.5,11,10,
4月,手术室,缺失行,持物钳罐-2/W6050,1599304,整行,2.0/16.5/33.0,,77,,
4月,手术室,缺失行,腹腔镜器械-9件/W6050,1599304,整行,1.0/49.5/49.5,,78,,
4月,手术室,缺失行,穿刺器10MM-1/z1026,1599484,整行,2.0/22.0/44.0,,79,,
4月,手术室,缺失行,穿刺器5MM-1/z1026,1599484,整行,1.0/22.0/22.0,,80,,
4月,手术室,缺失行,电凝钩-1/Z7550,1599484,整行,1.0/22.0/22.0,,81,,
4月,手术室,缺失行,剪刀（低温）-1/Z2060,1599484,整行,1.0/28.0/28.0,,82,,
