月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
4月,供应室,字段不一致-单价,敷料包（无纺布）,1596498,单价,0.0,20.0,30,29,
4月,供应室,字段不一致-总价,敷料包（无纺布）,1596498,总价,0.0,40.0,30,29,
4月,供应室,字段不一致-单价,敷料包（纸塑袋）,1596498,单价,0.0,8.0,31,30,
4月,供应室,字段不一致-总价,敷料包（纸塑袋）,1596498,总价,0.0,16.0,31,30,
4月,供应室,字段不一致-单价,环氧乙烷（自行打包）-1包,1596632,单价,0.0,35.0,32,31,
4月,供应室,字段不一致-总价,环氧乙烷（自行打包）-1包,1596632,总价,0.0,35.0,32,31,
4月,供应室,字段不一致-单价,敷料包（无纺布）,1597697,单价,0.0,20.0,34,33,
4月,供应室,字段不一致-总价,敷料包（无纺布）,1597697,总价,0.0,20.0,34,33,
4月,供应室,字段不一致-单价,器械包（无纺布）,1597697,单价,0.0,20.0,35,34,
4月,供应室,字段不一致-总价,器械包（无纺布）,1597697,总价,0.0,60.0,35,34,
4月,供应室,字段不一致-单价,敷料包（纸塑袋）,1597697,单价,0.0,8.0,36,35,
4月,供应室,字段不一致-总价,敷料包（纸塑袋）,1597697,总价,0.0,8.0,36,35,
4月,供应室,字段不一致-单价,器械包（无纺布）,1598537,单价,0.0,20.0,38,37,
4月,供应室,字段不一致-总价,器械包（无纺布）,1598537,总价,0.0,40.0,38,37,
4月,供应室,字段不一致-单价,敷料包（纸塑袋）,1598537,单价,0.0,8.0,39,38,
4月,供应室,字段不一致-总价,敷料包（纸塑袋）,1598537,总价,0.0,32.0,39,38,
